#Data from 2015-10-22 at 11:12:9,,
Timestamp,PMT,
1928404600,0.003,103
1928404698,0.003,98
1928404797,0.003,99
1928404897,0.003,100
1928404997,0.003,100
1928405097,0.003,100
1928405197,0.003,100
1928405297,0.003,100
1928405397,0.003,100
1928405497,0.003,100
1928405597,0.003,100
1928405697,0.003,100
1928405797,0.006,100
1928405897,0.003,100
1928405997,0.003,100
1928406097,0.003,100
1928406197,0.003,100
1928406297,0.003,100
1928406397,0.003,100
1928406497,0.003,100
1928406597,0.003,100
1928406697,0.003,100
1928406797,0.006,100
1928406897,0.003,100
1928406997,0.003,100
1928407097,0.003,100
1928407197,0.006,100
1928407297,0.003,100
1928407397,0.003,100
1928407497,0.003,100
1928407597,0.003,100
1928407697,0.003,100
1928407797,0.006,100
1928407897,0.003,100
1928407997,0.025,100
1928408097,0.003,100
1928408197,0.003,100
1928408297,0.006,100
1928408397,0.003,100
1928408497,0.003,100
1928408597,0.003,100
1928408697,0.003,100
1928408797,0.003,100
1928408897,0.006,100
1928408997,0.003,100
1928409097,0.003,100
1928409197,0.006,100
1928409297,0.006,100
1928409397,0.003,100
1928409497,0.022,100
1928409597,0.003,100
1928409697,0.003,100
1928409797,0.003,100
1928409897,0.003,100
1928409997,0.003,100
1928410097,0.003,100
1928410197,0.012,100
1928410297,0.006,100
1928410397,0.006,100
1928410497,0.006,100
1928410597,0.003,100
1928410698,0.003,101
1928410797,0.006,99
1928410897,0.006,100
1928410997,0.003,100
1928411097,0.003,100
1928411197,0.003,100
1928411297,0.003,100
1928411397,0.003,100
1928411497,0.003,100
